precio_mxn,m2,recamaras,banos,medios_banos,estacionamientos,antiguedad_anos,pisos,direccion,latitud,longitud,roof_garden,alberca,url,tipo
4850000,170.0,2,2,2,1.0,25.0,1,"Departamento Centro de Puebla en Venta, Provincia de Puebla",19.0424229,-98.2038479,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-centro-de-puebla-en-venta-148873938.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=2,departamentos
3339000,97.0,3,2,2,,,1,"Santuario Maya, Puebla, Provincia de Puebla",19.0484216,-98.2672467,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-santuario-maya-puebla-147190025.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=4,departamentos
3900000,122.0,2,3,3,2.0,,1,"Departamento en Venta La Paz Puebla, Provincia de Puebla",19.053762199999998,-98.2262318,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-la-paz-puebla-149442548.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=6,departamentos
2150000,72.0,3,1,2,2.0,2.0,1,"Prados Agua Azul, Provincia de Puebla",19.0273276,-98.2171967,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-prados-agua-azul-148927722.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=7,departamentos
956000,50.0,2,2,1,1.0,,1,"Departamentos Economicos Zona Sur Puebla, Provincia de Puebla",18.9788043,-98.2472773,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-economicos-zona-sur-puebla-148060647.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=8,departamentos
1487000,61.0,1,1,1,1.0,4.0,1,"Fracc. Haus, Paseo Altea, Ex Hacienda Mayorazgo Puebla",18.9925363,-98.2534317,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-fracc.-haus-paseo-altea-ex-146123993.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=9,departamentos
1690000,68.0,3,3,1,1.0,,1,"Departamentos en Venta de 3 Recámaras con Elevador Ubicado en Reforma Sur Puebla Puebla, Provincia de Puebla",19.0632192,-98.22959999999999,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-en-venta-de-3-recamaras-con-elevador-149776340.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=10,departamentos
3650000,135.0,3,3,2,2.0,,1,"Puebla, Zavaleta de 3 Recamaras",19.067736,-98.2463775,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-puebla-zavaleta-de-3-145329889.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=11,departamentos
2195000,72.0,3,2,2,2.0,,1,"Departamento en Venta, Belisario Dominguez, Provincia de Puebla",19.0523986,-98.2335373,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-belisario-dominguez-148705345.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=12,departamentos
3500000,112.0,3,2,2,2.0,3.0,1,"Departamento en Venta Torre Arbolada, Zona Belisario Dominguez, Provincia de Puebla",19.0485835,-98.2317546,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-torre-arbolada-zona-belisario-148689295.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=13,departamentos
